,대분류(SB_L_UPJONG_NM),중분류(SB_M_UPJONG_NM),내국인업종분류(SB_UPJONG_NM),내국인업종코드(SB_UPJONG_CD),네이버업종명
0,요식/유흥,한식,한식,sb001,식품 
1,요식/유흥,일식/중식/양식,일식,sb002,식품 
2,요식/유흥,일식/중식/양식,양식,sb003,식품 
3,요식/유흥,일식/중식/양식,중식,sb004,식품 
4,요식/유흥,제과/커피/패스트푸드,제과점,sb005,식품 
5,요식/유흥,제과/커피/패스트푸드,커피전문점,sb006,식품 
6,요식/유흥,제과/커피/패스트푸드,패스트푸드,sb007,식품 
7,요식/유흥,기타요식,기타요식,sb008,식품 
8,요식/유흥,유흥,노래방,sb009,음료
9,요식/유흥,유흥,기타유흥업소,sb010,음료
10,요식/유흥,유흥,유흥주점,sb011,음료
11,유통,백화점,백화점,sb012,백화점과일반상점
12,유통,할인점/슈퍼마켓,할인점/슈퍼마켓,sb013,백화점과일반상점
13,유통,할인점/슈퍼마켓,슈퍼마켓,sb014,백화점과일반상점
14,유통,할인점/슈퍼마켓,생활잡화,sb015,백화점과일반상점
15,유통,편의점,편의점,sb016,백화점과일반상점
16,유통,기타유통,기타유통,sb017,백화점과일반상점
17,음/식료품,음/식료품,정육점,sb018,식품 
18,음/식료품,음/식료품,농수산물,sb019,식품 
19,음/식료품,음/식료품,기타음/식료품,sb020,식품 
20,의류/잡화,의복/의류,의복/의류,sb021,"섬유,의류,신발,호화품"
21,의류/잡화,패션/잡화,패션/잡화,sb022,"섬유,의류,신발,호화품"
22,의류/잡화,패션/잡화,시계/귀금속,sb023,"섬유,의류,신발,호화품"
23,의류/잡화,패션/잡화,안경,sb024,"섬유,의류,신발,호화품"
24,스포츠/문화/레저,스포츠/문화/레저,실내골프/헬스,sb025,"호텔,레스토랑,레저"
25,스포츠/문화/레저,스포츠/문화/레저,실외골프/스키,sb026,"호텔,레스토랑,레저"
26,스포츠/문화/레저,스포츠/문화/레저,종합레저시설,sb027,"호텔,레스토랑,레저"
27,스포츠/문화/레저,스포츠/문화/레저,영화/공연,sb028,방송과엔터테인먼트
28,스포츠/문화/레저,스포츠/문화/레저,스포츠시설,sb029,레저용장비와제품
29,스포츠/문화/레저,스포츠/문화/레저,취미/오락,sb030,게임엔터테인먼트
30,스포츠/문화/레저,스포츠/문화/레저,서점,sb031,인터넷과카탈로그소매
31,스포츠/문화/레저,스포츠/문화/레저용품,스포츠/레저용품,sb032,레저용장비와제품
32,스포츠/문화/레저,스포츠/문화/레저용품,문화용품,sb033,기타
33,스포츠/문화/레저,스포츠/문화/레저용품,화원,sb034,기타
34,여행/교통,숙박,호텔/콘도,sb035,"호텔,레스토랑,레저"
35,여행/교통,숙박,모텔/여관/기타숙박,sb036,"호텔,레스토랑,레저"
36,여행/교통,여행,여행사,sb037,"호텔,레스토랑,레저"
37,여행/교통,여행,면세점,sb038,백화점과일반상점
38,미용,미용서비스,미용실,sb039,화장품
39,미용,미용서비스,미용서비스,sb040,화장품
40,미용,화장품,화장품,sb041,화장품
41,가정생활/서비스,서비스,생활서비스,sb042,기타
42,가정생활/서비스,서비스,세탁소,sb043,기타
43,가정생활/서비스,서비스,업무서비스,sb044,상업서비스와공급품
44,가정생활/서비스,인테리어,인테리어,sb045,건축자재
45,교육/학원,학원,독서실,sb046,교육서비스
46,교육/학원,학원,학원,sb047,교육서비스
47,교육/학원,유아교육,유아교육,sb048,교육서비스
48,교육/학원,교육용품,교육용품,sb049,교육서비스
49,의료,병원,종합병원,sb050,제약
50,의료,병원,일반병원,sb051,제약
51,의료,병원,치과병원,sb052,제약
52,의료,병원,한의원,sb053,제약
53,의료,약국,약국,sb054,제약
54,의료,기타의료,기타의료,sb055,제약
55,가전/가구,가전/가구,가전,sb056,반도체와반도체장비
56,가전/가구,가전/가구,가구,sb057,가구
57,가전/가구,가전/가구,기타가전/가구,sb058,가정용기기와용품
58,자동차,자동차판매,자동차판매,sb059,자동차
59,자동차,자동차서비스/용품,자동차서비스,sb060,자동차
60,자동차,자동차서비스/용품,자동차용품,sb061,자동차
61,주유,주유,주유소,sb062,석유와가스
62,주유,주유,LPG,sb063,석유와가스
